Rank,Year,Name,Artist,Features,Size,Time,Group,Debut Year,State,Country
1,2006,Bad Day,Daniel Powter,false,6463488,230,false,2000,n/a,Canada
2,2006,Temperature,Sean Paul,false,5959680,212,false,1996,n/a,Jamaica
3,2006,Promiscuous,Nelly Furtado,true,5909324,246,false,1996,n/a,Canada
4,2006,You re Beautiful,James Blunt,false,5931008,211,false,2004,n/a,England
5,2006,Hips Don t Lie,Shakira,true,6062080,216,false,1990,n/a,Colombia
6,2006,Unwritten,Natasha Bedingfield,false,7069696,252,false,2004,n/a,England
7,2006,Crazy,Gnarls Barkley,false,5017600,179,true,2004,Georgia,USA
8,2006,Ridin ,Chamillionaire,true,8507392,303,false,1998,Texas,USA
9,2006,SexyBack,Justin Timberlake,false,6754304,241,false,1993,Tennessee,USA
10,2006,Check On It,Beyonce,true,5902336,210,false,1997,Texas,USA
11,2006,Be Without You,Mary J. Blige,false,6918144,246,false,1989,New York,USA
12,2006,Grillz,Nelly,true,7598080,271,false,1993,Texas,USA
13,2006,Over My Head (Cable Car),The Fray,false,6762496,241,true,2002,Colorado,USA
14,2006,Me & U,Cassie,false,5402624,192,false,2004,New York,USA
15,2006,Buttons,The Pussycat Dolls,true,6336512,226,true,2003,California,USA
16,2006,Run It!,Chris Brown,false,4861952,173,false,2005,Virginia,USA
17,2006,So Sick,Ne-Yo,false,5844992,208,false,1999,Arkansas,USA
18,2006,It s Goin  Down,Yung Joc,false,6795264,242,false,2004,Georgia,USA
19,2006,SOS,Rihanna,false,6742016,240,false,2005,n/a,Barbados
20,2006,I Write Sins Not Tragedies,Panic! At the Disco,false,5206016,185,true,2004,Nevada,USA
21,2006,Move Along,The All-American Rejects,false,6619136,236,true,1999,Oklahoma,USA
22,2006,London Bridge,Fergie,false,5816320,207,false,1984,California,USA
23,2006,Dani California,Red Hot Chili Peppers,false,7905280,282,true,1983,California,USA
24,2006,Snap Yo Fingers,Lil Jon,true,7618560,271,false,1995,Georgia,USA
25,2006,Lean Wit It Rock Wit It,Dem Franchize Boyz,true,6426624,229,true,2004,Georgia,USA
26,2006,What Hurts The Most,Rascal Flatts,false,5947392,212,true,1999,Ohio,USA
27,2006,How To Save A Life,The Fray,false,7401472,264,true,2002,Colorado,USA
28,2006,Unfaithful,Rihanna,false,6414336,229,false,2005,n/a,Barbados
29,2006,Chasing Cars,Snow Patrol,false,7413760,264,true,1994,n/a,Scotland
30,2006,Lips Of An Angel,Hinder,false,7241728,258,true,2001,Oklahoma,USA
31,2006,Everytime We Touch,Cascada,false,8527872,304,true,2004,n/a,Germany
32,2006,Ain t No Other Man,Christina Aguilera,false,6352896,226,false,1993,Pennsylvania,USA
33,2006,Dance Dance,Fall Out Boy,false,4079616,145,true,2001,Illinois,USA
34,2006,Gold Digger,Kanye West,true,8871936,316,false,1996,Georgia,USA
35,2006,Money Maker,Ludacris,true,6463488,230,false,1998,Illinois,USA
36,2006,Ms. New Booty,Bubba Sparxxx,true,7868416,280,false,1993,Georgia,USA
37,2006,(When You Gonna) Give It Up To Me,Sean Paul,true,6795264,242,false,1996,n/a,Jamaica
38,2006,Photograph,Nickelback,false,6447104,230,true,1995,n/a,Canada
39,2006,Because Of You,Kelly Clarkson,false,6164480,220,false,2002,Texas,USA
40,2006,StickWitU,The Pussycat Dolls,false,5828608,208,true,2003,California,USA
41,2006,I m N Luv (Wit A Stripper),T-Pain,true,6598656,235,false,2000,Florida,USA
42,2006,My Humps,The Black Eyed Peas,false,9134080,326,true,1991,California,USA
43,2006,Where d You Go,Fort Minor,true,6508544,232,true,2004,California,USA
44,2006,Yo (Excuse Me Miss),Chris Brown,false,6152192,219,false,2005,Virginia,USA
45,2006,Walk Away,Kelly Clarkson,false,5218304,186,false,2002,Texas,USA
46,2006,Laffy Taffy,D4L,false,6299648,224,true,2004,Georgia,USA
47,2006,What You Know,T.I.,false,6971392,248,false,2001,Georgia,USA
48,2006,Dirty Little Secret,The All-American Rejects,false,5517312,197,true,1999,Oklahoma,USA
49,2006,Savin  Me,Nickelback,false,6057984,216,true,1995,n/a,Canada
50,2006,Don t Forget About Us,Mariah Carey,false,6549504,233,false,1988,New York,USA
51,2006,Sexy Love,Ne-Yo,false,6070272,216,false,1999,Arkansas,USA
52,2006,U And Dat,E-40,true,5697536,203,false,1987,California,USA
53,2006,Far Away,Nickelback,false,6656000,237,true,1995,n/a,Canada
54,2006,What s Left Of Me,Nick Lachey,false,6828032,243,false,1997,Kentucky,USA
55,2006,So What,Field Mob,true,7184384,256,true,2000,Georgia,USA
56,2006,Do It To It,Cherish,true,6451200,230,true,2003,Georgia,USA
57,2006,Black Horse & The Cherry Tree,KT Tunstall,false,8327168,297,false,2000,n/a,Scotland
58,2006,There It Go! (The Whistle Song),Juelz Santana,false,4691968,195,false,1999,New York,USA
59,2006,Shoulder Lean,Young Dro,true,7225344,258,false,2000,Georgia,USA
60,2006,Unpredictable,Jamie Foxx,true,5272319,219,false,1989,Texas,England
61,2006,My Love,Justin Timberlake,true,7786496,278,false,1993,Tennessee,USA
62,2006,Shake That,Eminem,true,6521405,274,false,1992,Missouri,USA
63,2006,Pullin  Me Back,Chingy,true,6406144,228,false,2001,Missouri,USA
64,2006,Bossy,Kelis,true,7655424,273,false,1997,New York,USA
65,2006,Chain Hang Low,Jibbs,false,5857280,209,false,2006,Missouri,USA
66,2006,Smack That,Akon,true,5939200,211,false,1996,Missouri,USA
67,2006,One Wish,Ray J,false,6635520,236,false,1995,California,USA
68,2006,Sugar We re Goin  Down,Fall Out Boy,false,6377472,227,true,2001,Illinois,USA
69,2006,Gimme That,Chris Brown,true,5087232,181,false,2005,Virginia,USA
70,2006,I Know You See It,Yung Joc,true,5767168,205,false,2004,Georgia,USA
71,2006,Who Says You Can t Go Home,Bon Jovi,false,7827456,279,true,1983,New Jersey,USA
72,2006,Too Little Too Late,JoJo,false,6021120,214,false,1998,Vermont,USA
73,2006,Touch It,Busta Rhymes,false,6029312,215,false,1989,New York,USA
74,2006,Rompe,Daddy Yankee,false,5283840,188,false,1992,San Juan,USA
75,2006,Deja Vu,Beyonce,true,6709248,239,false,1997,Texas,USA
76,2006,Life Is A Highway,Rascal Flatts,false,7585792,270,true,1999,Ohio,USA
77,2006,Call Me When You re Sober,Evanescence,false,5955584,212,true,1995,Arkansas,USA
78,2006,Jesus Take The Wheel,Carrie Underwood,false,6246400,222,false,2005,Oklahoma,USA
79,2006,Show Stopper,Danity Kane,false,6430720,229,true,2005,New York,USA
80,2006,Get Up,Ciara,true,7225344,257,false,2002,Georgia,USA
81,2006,We Be Burnin ,Sean Paul,false,5836800,208,false,1996,n/a,Jamaica
82,2006,Hate Me,Blue October,false,10645504,380,true,1995,Texas,USA
83,2006,You And Me,Lifehouse,false,5484544,195,true,1999,California,USA
84,2006,Beep,The Pussycat Dolls,true,6402048,228,true,2003,California,USA
85,2006,I Think They Like me,Dem Franchize Boyz,true,7692288,274,true,2004,Georgia,USA
86,2006,Say Goodbye,Chris Brown,false,7901184,282,false,2005,Virginia,USA
87,2006,Waiting On The World To Change,John Mayer,false,5586944,199,false,1998,Connecticut,USA
88,2006,Soul Survivor,Young Jeezy,true,7811072,278,false,2001,South Carolina,USA
89,2006,Pump It,The Black Eyed Peas,false,6000640,214,true,1991,California,USA
90,2006,When I m Gone,Eminem,false,7811072,278,false,1992,Missouri,USA
91,2006,Hung Up,Madonna,false,5509120,196,false,1979,Michigan,USA
92,2006,Stay Fly,Three 6 Mafia,true,6684672,238,true,1991,Tennessee,USA
93,2006,Love,Keyshia Cole,false,7081984,252,false,2004,California,USA
